Site ID,Latitude,Longitude,Elevation (m amsl),Bulk Density ,Soil Particle Density ,Total Soil Porosity 
LF BD 1,36.107880,-94.559930,281,1.128344967,1.531882319,0.263425817
LF BD 2,36.107760,-94.560160,,1.13898473,1.567331789,0.273296989
LF BD 3,36.107550,-94.560690,,0.959845056,1.475696143,0.34956457
LF BD 4,36.107990,-94.560560,281,1.172381548,1.560741374,0.248830353
LF BD 5,36.111200,-94.559350,,1.212893837,1.497364863,0.189981102
LF BD 6,36.112568,-94.559394,281,0.927999632,1.438950431,0.355085754
LF BD 7,36.111470,-94.559410,,1.172808325,1.64925238,0.288884868
LF BD 8,36.111575,-94.557325,,1.057223055,1.576815752,0.324097008
LF BD 9,36.112227,-94.557260,,1.150950083,1.692225932,0.319860273
LF BD 10,36.112851,-94.557182,,1.273952313,1.639619794,0.223019679
LF BD 11,36.112981,-94.559424,,1.022302433,1.498208832,0.317650242
LF BD 12,36.113523,-94.559426,,1.244218128,1.512019884,0.177115234
LF BD 13,36.110344,-94.561331,,1.062514363,1.420119146,0.212039332
LF BD 14,36.109234,-94.562022,,1.127103909,1.620212388,0.304348049
LF BD 15,36.110929,-94.557458,,1.250757802,,
LF BD 16,36.110515,-94.556388,,1.198626965,,
LF BD 17,36.113356,-94.555149,,1.258233507,,
LF BD 18,36.115467,-94.555335,,1.227845105,,
LF BD 19,36.115907,-94.557317,,1.099611246,,
LF BD 20,36.115550,-94.559546,,1.315265126,,
LF BD 21,36.114630,-94.560477,,1.275900247,,
LF BD 22,36.116907,-94.560834,,1.11617382,,
LF BD 23,36.116005,-94.561501,,1.321381729,,
LF BD 24,36.114177,-94.561638,,1.196691627,,
LF BD 25,36.112406,-94.562152,,1.230114666,,
,,,,,,
,,,,,,
