Sample Location ,PSI_10,PSI_20,PSI_30
LF 3 ,217.042359207,227.469347925,
LF 4,213.506468530,225.155204161,
LF 5,197.944208374,198.023133497,
LF 6,178.440215525,193.117061483,
LF 7,163.389376133,195.872043046,
LF 8,198.257082366,193.693617049,
LF 9,199.201832590,182.276792912,
LF 10,189.845012955,171.310943705,
LF 11,171.562496229,194.817042351,163.573216713
LF 12,183.860421598,61.538029572,160.559825437
LF 13,122.148600795,34.712500079,107.844074556
LF 14,150.681917429,157.780518195,135.581801051
LF 15,151.080587483,162.091190005,164.703437735
LF 16,162.279217649,98.905632099,143.848673110
LF 17,126.929252389,180.824223549,142.253278453
LF 18,142.192818079,132.267240657,167.646629192
LF 19,61.906412754,145.353257405,173.270302983
LF 20,111.274809161,120.907609206,157.096423067
LF 21,152.570082113,111.576868605,161.994110035
LF 22,163.173159053,92.589536512,20.951194855
LF 23,152.315678388,163.651615839,161.670783109
LF 24,154.647509068,135.079631670,89.241150913
LF 25,112.443425889,140.598788301,142.125162383
LF 26,124.488569084,123.604923081,138.741560786
LF 27,98.841395287,122.663179393,125.985209318
LF 28,148.739034051,145.456869280,129.445118129
LF 29,140.907734900,200.234864061,158.008686514
LF 30,138.244517695,144.131266236,134.652053262
LF 31,136.451447090,124.025235483,97.795216323
LF 32,113.196314612,105.375901510,124.525763159
LF 33,118.620834289,133.115967490,133.225974572
LF 34,92.212590058,118.988109995,93.641621613
LF 35,108.616646963,100.935115521,112.247685701
LF 36,75.673537616,126.878622452,126.223984279
LF 37,105.010384933,119.177978327,130.658475623
LF 38,91.308028874,100.148254253,87.347938853
LF 39,65.655722184,53.891016275,58.470986634
LF 40,82.548028877,88.853579414,146.231748046
LF 41,88.198573353,143.938873227,123.317190720
LF 42,60.022618918,96.029717609,64.221021440
LF 43,83.792753394,144.287436264,55.228268617
LF 44,81.410330606,73.051561854,116.963262400
LF 45,100.177344832,157.599622126,142.235437567
LF 46,197.690473908,64.574173660,84.844605108
