Sample Location ,TP_10,TP_20,TP_30
LF 3 ,268.152866242,303.988853503,
LF 4,337.202521452,375.388301058,
LF 5,266.278098269,370.408773679,
LF 6,298.875149581,303.832669323,
LF 7,356.569605106,424.501197127,
LF 8,369.367744017,374.889199441,
LF 9,384.003583516,549.038576854,
LF 10,212.206263714,128.514970060,
LF 11,138.535564854,197.408664404,193.148664807
LF 12,238.929769390,252.394563262,247.297027728
LF 13,208.394175145,198.603675589,182.930724696
LF 14,225.002993414,197.970927917,238.312412831
LF 15,245.292712067,185.289190267,223.520336422
LF 16,224.624150340,208.298804781,207.303931351
LF 17,211.693322671,211.225382932,189.196339765
LF 18,208.635097493,189.904306220,167.500498306
LF 19,104.359076433,149.986013986,140.251146103
LF 20,155.446927374,174.854941250,169.581589958
LF 21,210.631494804,230.991818000,208.797770701
LF 22,245.510774142,224.306525644,195.009980040
LF 23,135.567319217,147.244267198,172.317510969
LF 24,143.743763720,138.777955272,175.428116288
LF 25,203.018152803,212.839160839,227.262726555
LF 26,143.457478590,173.092289253,162.093487815
LF 27,219.149361022,205.894105894,204.948165869
LF 28,205.812101911,305.638573421,204.540928102
LF 29,519.684252598,214.556709265,224.691111997
LF 30,268.209938136,424.036655904,1232.914923291
LF 31,183.250249252,203.973642173,425.284860558
LF 32,168.629016164,159.513168396,195.943245404
LF 33,172.155688623,183.592194345,179.020979021
LF 34,236.102809325,237.943403747,285.271782574
LF 35,250.449191455,289.288648742,333.566433566
LF 36,169.370629371,159.864622735,164.071856287
LF 37,143.569292124,175.124875125,234.004385091
LF 38,178.471667997,148.454636092,99.900398406
LF 39,114.040343519,109.729407083,143.697646590
LF 40,193.657758277,197.072296355,227.652797133
LF 41,175.478850758,177.873104549,193.397167365
LF 42,187.200956938,190.686978264,238.389475782
LF 43,,,
LF 44,,,
LF 45,,,
LF 46,,,
