"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot"
"Elev",1,0.230545440517047,-0.318940476728435,-0.16819993866912,-0.0428561159781825,-0.274188931233043,0.0869433346325841,-0.0437878439137678,0.0764580909312954,0.193311694573016,0.250555220915302,0.000535906189444187,0.319584179151589,-0.14571079432582,0.314686337325511,0.0749982029618193,-0.218260076374601
"SandPD",0.230545440517047,1,-0.61395867142208,-0.846660896835694,-0.30843347555104,0.0361731484034934,0.05497784142775,-0.106003839283406,-0.0320385473688835,-0.0576496877951126,0.21912998039893,0.224644355919038,0.119428133071573,0.303387216407171,0.19925077771096,0.0532150964262578,0.00458750831260843
"ClayPD",-0.318940476728435,-0.61395867142208,1,0.177103781946288,-0.132690118086115,-0.29635805862212,-0.00567619592149316,0.193495251034675,0.0240854799912007,-0.169966070334585,-0.12992893643808,-0.326481061013487,-0.103544311801304,-0.267221023937587,-0.293912446535256,-0.109373473058266,0.05629742582382
"SiltPD",-0.16819993866912,-0.846660896835694,0.177103781946288,1,0.374991014809097,0.118646801622339,-0.0845707612403217,0.0597872484207214,0.073549775160135,0.184893528934444,-0.189026082975198,-0.0815342988225799,-0.0399480223939487,-0.175250902839353,-0.0690289582362868,0.0598455048123905,0.0691820157933517
"SMC",-0.0428561159781825,-0.30843347555104,-0.132690118086115,0.374991014809097,1,0.351952328342611,0.0828176333687551,0.0391257851076855,-0.0738024297363629,0.255003819709702,-0.151718869365928,0.0649598824650882,-0.0997708174178762,0.0368220015278839,0.148051948051948,0.169747899159664,-0.0276546982429335
"LOI",-0.274188931233043,0.0361731484034934,-0.29635805862212,0.118646801622339,0.351952328342611,1,-0.00886443537786923,-0.0833906598782378,-0.15902491397712,0.29617178129743,0.0602124261254836,0.477985023167346,0.154504474144325,0.548330418624963,0.366317729499452,0.0342324453099196,-0.082218998110432
"WEP_2024",0.0869433346325841,0.05497784142775,-0.00567619592149316,-0.0845707612403217,0.0828176333687551,-0.00886443537786923,1,0.615819656995308,0.272463325183374,0.496294599966266,0.400947361549102,-0.146820551037225,0.115669646605438,0.0223088089886314,0.484987395410385,-0.179692872401579,-0.30437772263941
"WEP_2025",-0.0437878439137678,-0.106003839283406,0.193495251034675,0.0597872484207214,0.0391257851076855,-0.0833906598782378,0.615819656995308,1,0.380053506358608,0.439859412265308,0.35702278910763,-0.272609128539106,0.204799031423041,-0.14381782729036,0.27724286791149,-0.120739727480748,0.00489072313846069
"M3P",0.0764580909312954,-0.0320385473688835,0.0240854799912007,0.073549775160135,-0.0738024297363629,-0.15902491397712,0.272463325183374,0.380053506358608,1,0.481320193932802,0.0913744368164493,0.127178238899501,0.300557721100261,-0.223852090194144,0.0583696235182001,-0.162273665383059,-0.108488043711838
"TP",0.193311694573016,-0.0576496877951126,-0.169966070334585,0.184893528934444,0.255003819709702,0.29617178129743,0.496294599966266,0.439859412265308,0.481320193932802,1,0.397708174178762,0.346503655407894,0.571886936592819,0.211306340718105,0.521466768525592,-0.165469824293354,-0.332009167303285
"Al_tot",0.250555220915302,0.21912998039893,-0.12992893643808,-0.189026082975198,-0.151718869365928,0.0602124261254836,0.400947361549102,0.35702278910763,0.0913744368164493,0.397708174178762,1,0.0988918681292048,0.451795263559969,0.47624140565317,0.770206264323911,0.0300993124522536,-0.0328495034377387
"As_tot",0.000535906189444187,0.224644355919038,-0.326481061013487,-0.0815342988225799,0.0649598824650882,0.477985023167346,-0.146820551037225,-0.272609128539106,0.127178238899501,0.346503655407894,0.0988918681292048,1,0.477646194596237,0.429193764616395,0.342376792286582,0.0504394381493626,0.0261367997683061
"Fe_tot",0.319584179151589,0.119428133071573,-0.103544311801304,-0.0399480223939487,-0.0997708174178762,0.154504474144325,0.115669646605438,0.204799031423041,0.300557721100261,0.571886936592819,0.451795263559969,0.477646194596237,1,0.431321619556914,0.554774637127578,0.0279602750190985,-0.113827349121467
"Ca_tot",-0.14571079432582,0.303387216407171,-0.267221023937587,-0.175250902839353,0.0368220015278839,0.548330418624963,0.0223088089886314,-0.14381782729036,-0.223852090194144,0.211306340718105,0.47624140565317,0.429193764616395,0.431321619556914,1,0.483575248281131,0.0634071810542399,-0.0279602750190985
"Mg_tot",0.314686337325511,0.19925077771096,-0.293912446535256,-0.0690289582362868,0.148051948051948,0.366317729499452,0.484987395410385,0.27724286791149,0.0583696235182001,0.521466768525592,0.770206264323911,0.342376792286582,0.554774637127578,0.483575248281131,1,0.206417112299465,-0.141329258976318
"Na_tot",0.0749982029618193,0.0532150964262578,-0.109373473058266,0.0598455048123905,0.169747899159664,0.0342324453099196,-0.179692872401579,-0.120739727480748,-0.162273665383059,-0.165469824293354,0.0300993124522536,0.0504394381493626,0.0279602750190985,0.0634071810542399,0.206417112299465,1,0.46768525592055
"Si_tot",-0.218260076374601,0.00458750831260843,0.05629742582382,0.0691820157933517,-0.0276546982429335,-0.082218998110432,-0.30437772263941,0.00489072313846069,-0.108488043711838,-0.332009167303285,-0.0328495034377387,0.0261367997683061,-0.113827349121467,-0.0279602750190985,-0.141329258976318,0.46768525592055,1
