"","ELEV","SAND_P","CLAY_P","SILT_P","SMC","LOI","WEP","MM3","M3","TP","AL","AS","FE","CA","MG","SI"
"ELEV",1,0.379552296860204,-0.284890856336978,-0.274125443260751,-0.14631545504503,-0.121725324980636,0.0864393446600988,-0.227923966567715,-0.24900199442139,0.00259757295298809,0.205506655454604,-0.106551164925048,0.119062947555765,-0.05414031396814,0.17624191523485,-0.0761166881843847
"SAND_P",0.379552296860204,1,-0.605333694246366,-0.834682181905578,-0.185680074032663,0.239012529655719,0.0714690794307143,-0.161969268024723,-0.246715146074741,-0.110979286946057,0.16736055610414,-0.0303130245087828,0.0159676076876153,0.192808590714668,0.107212635121343,-0.0660230000642411
"CLAY_P",-0.284890856336978,-0.605333694246366,1,0.150422783279675,-0.290021906759671,-0.517171703579956,-0.0885982300457556,0.106712415134396,0.132368482103849,-0.129068273622514,-0.0232797458422629,-0.131463289550287,-0.0186847726217601,-0.268697047778074,-0.205096956354005,0.0602599262961631
"SILT_P",-0.274125443260751,-0.834682181905578,0.150422783279675,1,0.374833319998813,-0.037382881825513,-0.069429574868291,0.100779587125588,0.221943427672039,0.183106486714945,-0.229918586260624,0.0741795217919001,0.000565980235066865,-0.0878901999647103,-0.0447886282173106,0.126126567405591
"SMC",-0.14631545504503,-0.185680074032663,-0.290021906759671,0.374833319998813,1,0.604783356714945,0.05678143421044,0.0544857678672845,0.115920966798339,0.37409657055797,-0.0639582032180345,0.424457877590106,0.191515416205125,0.339067731185329,0.311638413263367,0.0142867250643536
"LOI",-0.121725324980636,0.239012529655719,-0.517171703579956,-0.037382881825513,0.604783356714945,1,0.164595150206345,0.0500276758708411,0.0679352399567557,0.333445302241693,0.192872516216755,0.463092687318894,0.292511132389827,0.612245036062157,0.426999260176653,-0.211304821418016
"WEP",0.0864393446600988,0.0714690794307143,-0.0885982300457556,-0.069429574868291,0.05678143421044,0.164595150206345,1,0.464722004359397,0.426783746148662,0.524607794757128,0.376535797606403,0.0116579480939999,0.229055009493313,0.0522545700199748,0.404940231309922,-0.487096774288453
"MM3",-0.227923966567715,-0.161969268024723,0.106712415134396,0.100779587125588,0.0544857678672845,0.0500276758708411,0.464722004359397,1,0.408230941348399,0.442843403997283,0.205162834039052,0.126096976522699,0.140502354769368,-0.0133371084535045,0.156310911075073,-0.21022375629863
"M3",-0.24900199442139,-0.246715146074741,0.132368482103849,0.221943427672039,0.115920966798339,0.0679352399567557,0.426783746148662,0.408230941348399,1,0.550267780198362,0.169035089761425,0.243635716673554,0.356226566265207,-0.0430071247116615,0.155657272431475,-0.113253760098146
"TP",0.00259757295298809,-0.110979286946057,-0.129068273622514,0.183106486714945,0.37409657055797,0.333445302241693,0.524607794757128,0.442843403997283,0.550267780198362,1,0.290159500660039,0.4672606440515,0.500029930188454,0.334271145677862,0.418913697689607,-0.302003232819418
"AL",0.205506655454604,0.16736055610414,-0.0232797458422629,-0.229918586260624,-0.0639582032180345,0.192872516216755,0.376535797606403,0.205162834039052,0.169035089761425,0.290159500660039,1,0.250317034782656,0.579499570096103,0.421773816131736,0.761278175030746,-0.176475070097698
"AS",-0.106551164925048,-0.0303130245087828,-0.131463289550287,0.0741795217919001,0.424457877590106,0.463092687318894,0.0116579480939999,0.126096976522699,0.243635716673554,0.4672606440515,0.250317034782656,1,0.570855055920056,0.426136770230755,0.436674827216724,-0.037708467715707
"FE",0.119062947555765,0.0159676076876153,-0.0186847726217601,0.000565980235066865,0.191515416205125,0.292511132389827,0.229055009493313,0.140502354769368,0.356226566265207,0.500029930188454,0.579499570096103,0.570855055920056,1,0.340886581556579,0.583635354425833,-0.0596776125166941
"CA",-0.05414031396814,0.192808590714668,-0.268697047778074,-0.0878901999647103,0.339067731185329,0.612245036062157,0.0522545700199748,-0.0133371084535045,-0.0430071247116615,0.334271145677862,0.421773816131736,0.426136770230755,0.340886581556579,1,0.474320044405263,-0.129009436651537
"MG",0.17624191523485,0.107212635121343,-0.205096956354005,-0.0447886282173106,0.311638413263367,0.426999260176653,0.404940231309922,0.156310911075073,0.155657272431475,0.418913697689607,0.761278175030746,0.436674827216724,0.583635354425833,0.474320044405263,1,-0.117983826314237
"SI",-0.0761166881843847,-0.0660230000642411,0.0602599262961631,0.126126567405591,0.0142867250643536,-0.211304821418016,-0.487096774288453,-0.21022375629863,-0.113253760098146,-0.302003232819418,-0.176475070097698,-0.037708467715707,-0.0596776125166941,-0.129009436651537,-0.117983826314237,1
